name,brand,ratingValue,ratingCount,gender_score,priceValue_score,timeOfDay_score,season_score,Woody & Earthy,Smoky & Leathery,Resinous & Balsamic,Citrus & Fresh,Green & Herbal,Warm & Spicy,Sweet & Gourmand,Floral,Powdery & Soft,Synthetic,Uncommon,notesBreakdown
Black XS Potion for Him,Rabanne,4.27,316.0,1.22222,0.35385,-0.62411,0.25344,0.26363,0.0,1.43185,0.0,0.37199,0.0,0.0,0.0,0.6919,0.0,0.0,"{'topnotes': ['Juniper'], 'midnotes': ['Wormwood', 'Cashmere Wood'], 'bottomnotes': ['Labdanum', 'Rum']}"
Black XS L'Aphrodisiaque for Men,Rabanne,4.25,208.0,1.42857,-0.09756,-0.51429,0.29873,0.12574,2.22387,0.0,0.0,0.0,2.1245,7.21673,0.84322,0.0,0.0,0.0,"{'topnotes': ['Saffron', 'Cinnamon'], 'midnotes': ['Cypress', 'Honey', 'Orange Blossom'], 'bottomnotes': ['Praline', 'Leather', 'Almond']}"
Sport de Paco Rabanne,Rabanne,4.32,155.0,1.69697,0.37931,0.80952,0.15741,2.20251,0.0,0.77975,1.51423,0.0,0.45886,0.0,0.0,0.0,0.0,0.0,"{'topnotes': ['Spicy Notes', 'Citruses', 'Woody Notes', 'Sandalwood', 'Patchouli'], 'midnotes': [], 'bottomnotes': []}"
Black XS Los Angeles for Him,Rabanne,3.8,109.0,0.81481,0.04348,0.53571,0.16312,0.20824,0.0,0.94535,1.83784,0.43373,3.56511,0.83124,0.0,0.0,0.0,0.0,"{'topnotes': ['Clary Sage', 'Lemon', 'Orange'], 'midnotes': ['Pineapple', 'Lily-of-the-Valley', 'Apple', 'Cinnamon'], 'bottomnotes': ['Woody Notes', 'Vanila', 'Oakmoss', 'Coumarin']}"
Tolla Pegasus,Parfums de Marly,4.12,16.0,-0.5,-2.0,-0.6,0.45455,0.18582,0.0,1.74645,0.0,1.75583,0.0,3.41849,0.88625,0.75076,0.0,0.0,"{'topnotes': ['Cumin', 'Heliotrope', 'Bergamot'], 'midnotes': ['Lavender', 'Bitter Almond', 'Agarwood (Oud)'], 'bottomnotes': ['Vanilla', 'Sandalwood', 'Amber']}"
Eau Paco Rabanne,Rabanne,4.06,235.0,1.51429,0.54167,0.7,0.16518,1.08693,1.13704,0.43582,0.5547,3.5334,0.0,0.0,0.0,0.0,0.0,0.0,"{'topnotes': ['Lavender', 'Lemon', 'Bergamot', 'Orange Blossom'], 'midnotes': ['Precious Woods', 'Basil', 'Pepper', 'Vetiver'], 'bottomnotes': ['Oakmoss', 'Incense', 'Musk', 'Leather', 'Sandalwood', 'Amber']}"
XS Extreme,Rabanne,4.14,118.0,1.61905,0.11765,0.10526,0.16509,1.76236,0.93884,0.0,3.31523,1.33526,0.0,0.0,0.98466,0.0,0.0,0.0,"{'topnotes': ['Petitgrain', 'Bergamot', 'Mint'], 'midnotes': ['Watermelon', 'Rose', 'Juniper', 'Brazilian Rosewood'], 'bottomnotes': ['Leather', 'Cedar', 'Musk', 'Oakmoss']}"
Ténéré,Rabanne,4.33,306.0,1.52941,0.33333,0.13402,0.26232,0.18958,1.01383,0.0,0.0,2.53093,0.37786,2.27875,2.05953,0.0,0.0,0.0,"{'topnotes': ['Lemon', 'Green Notes', 'Rosemary', 'Bergamot', 'Lavender', 'Grapefruit', 'Cassia'], 'midnotes': ['Jasmine', 'Honey', 'Artemisia', 'Lily-of-the-Valley', 'Rose', 'Orris Root', 'Tarragon', 'Anise', 'Cinnamon', 'Carnation'], 'bottomnotes': ['Cedar', 'Leather', 'Musk', 'Patchouli', 'Amber', 'Vetiver']}"
Ultraviolet Man Summer Pop,Rabanne,4.51,51.0,1.16667,-0.16667,0.47619,0.10294,2.89332,0.0,0.45562,3.13021,1.85789,0.0,0.0,0.0,0.0,0.0,0.0,"{'topnotes': ['Green Pepper', 'Green Notes', 'Sea Notes'], 'midnotes': ['Grapefruit', 'Cedar'], 'bottomnotes': ['Oakmoss', 'Amber']}"
1 Million Absolutely Gold,Rabanne,4.05,465.0,0.87778,-0.15714,-0.55801,0.32624,0.0,3.86321,0.0,0.46659,0.0,0.0,0.0,1.48443,0.0,0.0,0.0,"{'topnotes': ['Mandarin Orange'], 'midnotes': ['Flowers'], 'bottomnotes': ['Leather']}"
