Fragrance Name,Brand Name,Link
Armani Code,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-412.html
Acqua di Giò Eau de Parfum,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Eau-de-Parfum-71606.html
Acqua di Giò Profondo Parfum,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profondo-Parfum-90451.html
Acqua di Giò Absolu,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Absolu-48138.html
Armani Code Absolu,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Absolu-53106.html
Emporio Armani Stronger With You Tobacco,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Tobacco-90333.html
Thé Yulong,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/The-Yulong-58907.html
Armani Code Profumo,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Profumo-34761.html
Armani Prive Rouge Malachite,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Rouge-Malachite-34589.html
Emporio Armani Stronger With You Oud,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Oud-76171.html
Armani Code Eau de Toilette,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Eau-de-Toilette-79263.html
Emporio Armani Stronger With You Amber,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Amber-79699.html
Magenta Tanzanite,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Magenta-Tanzanite-71536.html
Armani Code Eau de Parfum,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Eau-de-Parfum-65581.html
Armani Prive Vert Malachite,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Vert-Malachite-34588.html
Armani Privé Bleu Turquoise,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Bleu-Turquoise-48060.html
Emporio Armani Stronger With You Leather,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Leather-63355.html
Armani Code Eau de Parfum (2024),Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Eau-de-Parfum-2024-96540.html
Armani Privé Rose d'Arabie,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Rose-d-Arabie-10886.html
Blanc Kogane,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Blanc-Kogane-88629.html
Emporio Armani Stronger With You Freeze,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Freeze-58808.html
Armani Eau de Cèdre,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Eau-de-Cedre-31401.html
Stronger With You Limited Edition,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Stronger-With-You-Limited-Edition-79166.html
Ambre Eccentrico,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Ambre-Eccentrico-31209.html
Santal Dan Sha,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Santal-Dan-Sha-78477.html
Emporio Armani Stronger With You Parfum,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Parfum-100895.html
Emporio Armani Stronger With You Only,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Only-71505.html
Armani Privé Bleu Lazuli,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Bleu-Lazuli-48059.html
Figuier Eden,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Figuier-Eden-14878.html
Acqua di Gio Essenza,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Essenza-14825.html
Armani Privé Oud Royal,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Oud-Royal-10884.html
Acqua di Giò Elixir,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Elixir-101438.html
Bois d'Encens,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Bois-d-Encens-406.html
